request_id,user_id,expected_scene,actual_scene,scene_match,decision_status,actions,source_table_count,source_coverage
raw_level_2_block_u_00297cf15f21_a064ef91,u_00297cf15f21,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_0038144c9a47_b689514c,u_0038144c9a47,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_0045635ba68a_3b73574c,u_0045635ba68a,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_004eb9c5fcb0_1f28c7b5,u_004eb9c5fcb0,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_00554ae1e01f_9dbf7617,u_00554ae1e01f,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_0073d9771e89_dd0987fc,u_0073d9771e89,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_0087ee38caa3_81ec0cca,u_0087ee38caa3,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_00a37f60d4a5_ca37cf2f,u_00a37f60d4a5,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_00c9e1c86dd0_af89e25e,u_00c9e1c86dd0,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_011bbf380c74_21365c5c,u_011bbf380c74,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_0121943eaa19_e352202b,u_0121943eaa19,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_0122538f8fe3_504afcd6,u_0122538f8fe3,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_013d5ec4d0e9_270859b1,u_013d5ec4d0e9,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_014ba5631159_e728efeb,u_014ba5631159,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_014c94be913f_de769b00,u_014c94be913f,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_0153e3a73336_ba851d70,u_0153e3a73336,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_015dac8d7077_752dc637,u_015dac8d7077,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_01b6018d4dbf_6c913f1d,u_01b6018d4dbf,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_01fb91349dde_2370c8ed,u_01fb91349dde,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_level_2_block_u_020327f3b98b_b1544f87,u_020327f3b98b,level_2_block,level_2_block,True,success,show_tutorial | switch_guided_mode | reduce_difficulty,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
raw_continuous_failure_u_00047e1427a4_48177081,u_00047e1427a4,continuous_failure,continuous_failure,True,success,show_tutorial | grant_coin_compensation,5,event_log | game_behavior_log | intervention_test | user_profile | version_exposure
