user_id,event_timestamp,event_type,event_detail,device_model,page_load_time_ms,session_id,network_type
sim_u_00000001,2026/06/01 09:03,app_open,{},Xiaomi 14,2123,sim_s_00000001,4g
sim_u_00000001,2026/06/01 09:04,coin_page_view,"{""source"":""home""}",Xiaomi 14,,sim_s_00000001,wifi
sim_u_00000001,2026/06/01 09:05,game_start,"{""game_type"":""jump""}",Xiaomi 14,,sim_s_00000001,wifi
sim_u_00000001,2026/06/01 09:11,product_view,"{""source"":""coin_game""}",Xiaomi 14,,sim_s_00000001,wifi
sim_u_00000002,2026/06/01 09:06,app_open,{},iPhone 14,1572,sim_s_00000002,wifi
sim_u_00000002,2026/06/01 09:07,coin_page_view,"{""source"":""home""}",iPhone 14,,sim_s_00000002,wifi
sim_u_00000002,2026/06/01 09:08,game_start,"{""game_type"":""jump""}",iPhone 14,,sim_s_00000002,wifi
sim_u_00000003,2026/06/01 09:09,app_open,{},iPhone 14,2552,sim_s_00000003,5g
sim_u_00000003,2026/06/01 09:10,coin_page_view,"{""source"":""home""}",iPhone 14,,sim_s_00000003,wifi
sim_u_00000003,2026/06/01 09:11,game_start,"{""game_type"":""jump""}",iPhone 14,,sim_s_00000003,wifi
sim_u_00000003,2026/06/01 09:17,product_view,"{""source"":""coin_game""}",iPhone 14,,sim_s_00000003,wifi
sim_u_00000004,2026/06/01 09:12,app_open,{},OPPO Reno,1770,sim_s_00000004,wifi
sim_u_00000004,2026/06/01 09:13,coin_page_view,"{""source"":""home""}",OPPO Reno,,sim_s_00000004,wifi
sim_u_00000004,2026/06/01 09:14,game_start,"{""game_type"":""jump""}",OPPO Reno,,sim_s_00000004,wifi
sim_u_00000005,2026/06/01 09:15,app_open,{},Xiaomi 14,415,sim_s_00000005,wifi
sim_u_00000005,2026/06/01 09:16,coin_page_view,"{""source"":""home""}",Xiaomi 14,,sim_s_00000005,wifi
sim_u_00000005,2026/06/01 09:17,game_start,"{""game_type"":""jump""}",Xiaomi 14,,sim_s_00000005,wifi
sim_u_00000005,2026/06/01 09:23,product_view,"{""source"":""coin_game""}",Xiaomi 14,,sim_s_00000005,wifi
sim_u_00000006,2026/06/01 09:18,app_open,{},iPhone 13,761,sim_s_00000006,wifi
sim_u_00000006,2026/06/01 09:19,coin_page_view,"{""source"":""home""}",iPhone 13,,sim_s_00000006,wifi
sim_u_00000006,2026/06/01 09:20,game_start,"{""game_type"":""jump""}",iPhone 13,,sim_s_00000006,wifi
sim_u_00000006,2026/06/01 09:26,product_view,"{""source"":""coin_game""}",iPhone 13,,sim_s_00000006,wifi
sim_u_00000007,2026/06/01 09:21,app_open,{},HUAWEI P60,984,sim_s_00000007,4g
sim_u_00000007,2026/06/01 09:22,coin_page_view,"{""source"":""home""}",HUAWEI P60,,sim_s_00000007,wifi
sim_u_00000007,2026/06/01 09:23,game_start,"{""game_type"":""jump""}",HUAWEI P60,,sim_s_00000007,wifi
sim_u_00000007,2026/06/01 09:29,product_view,"{""source"":""coin_game""}",HUAWEI P60,,sim_s_00000007,wifi
sim_u_00000008,2026/06/01 09:24,app_open,{},OPPO Reno,1940,sim_s_00000008,wifi
sim_u_00000008,2026/06/01 09:25,coin_page_view,"{""source"":""home""}",OPPO Reno,,sim_s_00000008,wifi
sim_u_00000008,2026/06/01 09:26,game_start,"{""game_type"":""jump""}",OPPO Reno,,sim_s_00000008,wifi
