uid,sex,birth_year,membership_level,reg_date,is_88vip,family_account,bindkeep_phone,bindkeep_alipay,bindkeep_bank,default_payment,lifetime_order_count,lifetime_order_amount,avg_monthly_spend_6m,last_618_order_amount,last_double11_order_amount,coupon_used_count_90d,coupon_total_count_90d,category_preference_1,category_preference_2,city_tier,province
sim_u_00000001,M,1988,L1,2015-11-19,0,0,1,1,1,credit_card,1,65.33,10.89,395.25,246.06,1,11,家居,运动,5,上海
sim_u_00000002,Unknown,1983,L5,2017-10-18,0,1,1,1,1,alipay_balance,113,10441.64,1740.27,279.29,782.8,1,10,数码,食品,1,其他
sim_u_00000003,F,1977,L1,2019-03-01,0,0,1,1,0,debit_card,2,195.73,32.62,197.86,380.02,0,12,数码,母婴,3,广东
sim_u_00000004,M,1991,L2,2017-07-30,0,0,1,1,1,alipay_balance,18,1243.61,207.27,83.27,514.78,3,1,家居,运动,3,广东
sim_u_00000005,Unknown,1974,L2,2016-04-06,0,1,1,1,1,debit_card,8,947.7,157.95,133.03,63.73,3,3,家居,运动,4,上海
sim_u_00000006,F,2004,L2,2021-10-08,0,1,1,1,0,credit_card,11,917.32,152.89,459.27,563.03,0,4,美妆,食品,5,浙江
sim_u_00000007,F,1996,L3,2018-07-22,0,0,1,1,1,debit_card,23,1715.65,285.94,171.31,490.6,3,4,数码,食品,5,其他
sim_u_00000008,M,1987,L1,2023-12-23,0,0,1,1,1,credit_card,0,0.0,0.0,434.3,576.75,0,8,家居,食品,2,广东
sim_u_00000009,F,1999,L3,2016-05-15,0,0,1,1,0,credit_card,35,3945.56,657.59,197.08,431.02,5,1,服饰,食品,4,北京
sim_u_00000010,Unknown,1975,L2,2016-09-30,0,0,1,1,1,alipay_balance,11,958.94,159.82,94.63,96.94,4,2,服饰,服饰,3,浙江
sim_u_00000011,Unknown,2004,L3,2018-04-30,0,0,1,1,1,credit_card,31,3521.24,586.87,246.53,343.46,0,4,数码,食品,3,浙江
sim_u_00000012,M,1971,L4,2023-07-25,1,0,1,1,1,alipay_balance,69,7823.13,1303.86,483.75,29.53,1,7,图书,运动,2,上海
sim_u_00000013,F,1990,L3,2024-07-09,0,0,1,1,1,alipay_balance,36,3886.73,647.79,170.58,213.19,0,12,美妆,运动,1,上海
sim_u_00000014,Unknown,2004,L3,2018-09-29,0,1,1,1,1,credit_card,31,2647.22,441.2,224.97,84.05,5,6,家居,服饰,4,上海
sim_u_00000015,Unknown,2001,L5,2016-11-19,1,1,1,1,1,credit_card,86,6482.89,1080.48,109.73,432.81,4,6,服饰,服饰,2,江苏
sim_u_00000016,Unknown,1997,L1,2017-11-10,0,0,1,1,1,credit_card,0,0.0,0.0,66.17,343.79,2,11,图书,服饰,1,北京
sim_u_00000017,M,1976,L3,2016-05-28,0,0,1,1,1,alipay_balance,35,2028.6,338.1,473.21,67.19,4,7,图书,食品,4,北京
sim_u_00000018,F,1995,L4,2023-06-13,0,0,1,1,1,credit_card,40,4236.66,706.11,488.88,132.74,0,3,美妆,食品,1,江苏
sim_u_00000019,M,1989,L5,2018-09-09,0,1,1,1,1,alipay_balance,115,13326.29,2221.05,464.87,286.13,1,9,家居,母婴,3,上海
sim_u_00000020,F,1993,L3,2017-10-15,0,0,1,1,1,debit_card,23,1191.72,198.62,194.27,171.12,3,9,图书,母婴,5,广东
sim_u_00000021,F,1971,L5,2022-11-24,1,0,1,1,1,alipay_balance,99,5432.7,905.45,292.76,549.45,3,2,家居,服饰,1,上海
sim_u_00000022,Unknown,1989,L3,2015-09-30,0,0,1,1,1,debit_card,32,3724.56,620.76,411.1,127.14,2,5,图书,服饰,3,江苏
sim_u_00000023,M,1971,L1,2019-11-02,0,0,1,1,1,credit_card,24,1490.16,248.36,367.61,738.63,5,6,数码,服饰,1,江苏
sim_u_00000024,F,1990,L5,2019-12-12,0,0,1,1,1,debit_card,90,4238.27,706.38,357.34,83.16,5,10,数码,运动,3,其他
sim_u_00000025,Unknown,1978,L3,2021-02-12,0,1,1,1,1,debit_card,26,2341.16,390.19,265.91,718.1,1,12,数码,母婴,2,北京
sim_u_00000026,M,1977,L2,2019-08-12,0,0,1,1,1,alipay_balance,15,1131.08,188.51,376.32,472.16,4,7,服饰,母婴,2,其他
sim_u_00000027,F,1989,L3,2016-06-26,0,0,1,1,1,credit_card,27,1223.42,203.9,222.11,531.88,2,4,美妆,食品,1,其他
sim_u_00000028,Unknown,1970,L5,2023-03-16,0,0,1,1,0,credit_card,92,8635.75,1439.29,154.85,759.41,4,4,美妆,家电,2,浙江
sim_u_00000029,M,1971,L5,2015-01-07,0,0,1,1,0,credit_card,90,4727.29,787.88,102.19,105.04,2,4,美妆,母婴,3,江苏
sim_u_00000030,Unknown,1975,L2,2018-11-22,0,0,1,1,1,debit_card,21,2202.93,367.15,129.13,357.88,2,1,数码,运动,3,上海
sim_u_00000031,M,1984,L1,2018-01-13,0,0,1,1,0,alipay_balance,11,757.91,126.32,215.59,37.15,0,2,图书,食品,2,其他
sim_u_00000032,Unknown,1990,L1,2019-03-28,0,1,1,1,1,credit_card,11,657.35,109.56,221.79,401.76,0,4,家居,食品,3,浙江
sim_u_00000033,M,1984,L2,2015-03-26,0,0,1,1,1,debit_card,26,1505.88,250.98,183.07,444.11,5,6,图书,运动,2,浙江
sim_u_00000034,F,1988,L2,2023-01-16,0,0,1,1,0,credit_card,13,1326.7,221.12,341.25,209.63,3,9,图书,家电,5,上海
sim_u_00000035,F,1996,L3,2018-03-19,0,0,1,1,1,alipay_balance,23,2751.27,458.55,215.8,784.13,2,5,家居,母婴,2,其他
sim_u_00000036,Unknown,1998,L2,2017-08-17,0,0,1,1,1,alipay_balance,1,83.78,13.96,307.44,62.82,2,10,数码,食品,2,广东
sim_u_00000037,F,1981,L1,2021-09-25,0,0,1,1,1,alipay_balance,0,0.0,0.0,371.18,550.68,1,8,数码,服饰,3,其他
sim_u_00000038,Unknown,2004,L2,2019-03-23,0,0,1,1,1,alipay_balance,11,662.08,110.35,310.93,244.05,3,3,服饰,服饰,1,上海
sim_u_00000039,Unknown,1973,L3,2019-12-16,0,0,1,1,1,debit_card,37,2255.31,375.88,156.45,31.34,0,6,服饰,食品,2,浙江
sim_u_00000040,F,1977,L4,2017-08-24,0,0,1,1,1,debit_card,61,6966.22,1161.04,56.71,550.98,2,8,数码,家电,2,上海
sim_u_00000041,Unknown,1973,L1,2023-10-19,0,0,1,1,1,credit_card,10,677.35,112.89,410.53,266.77,2,2,家居,运动,5,浙江
sim_u_00000042,F,1988,L3,2021-05-23,0,0,1,1,0,credit_card,33,1629.63,271.61,376.28,568.08,3,12,美妆,服饰,1,江苏
sim_u_00000043,M,1984,L2,2018-12-13,0,0,1,1,1,debit_card,24,2498.15,416.36,285.4,774.88,0,2,家居,服饰,4,广东
sim_u_00000044,M,1976,L3,2018-06-26,0,1,1,1,1,alipay_balance,28,2252.51,375.42,248.74,347.19,6,8,美妆,家电,1,浙江
sim_u_00000045,Unknown,2003,L3,2022-07-10,0,0,1,1,1,alipay_balance,31,3295.89,549.31,387.35,53.46,4,9,服饰,母婴,1,其他
sim_u_00000046,M,1993,L4,2022-02-27,0,1,1,1,1,alipay_balance,65,3342.54,557.09,202.48,597.63,6,5,家居,服饰,1,北京
sim_u_00000047,F,1982,L1,2015-01-24,0,0,1,1,1,alipay_balance,5,232.1,38.68,281.83,288.91,3,9,美妆,运动,2,其他
sim_u_00000048,M,1992,L3,2015-08-18,0,0,1,1,1,alipay_balance,37,3478.7,579.78,483.92,580.64,6,1,美妆,母婴,2,北京
sim_u_00000049,Unknown,1991,L3,2024-01-08,0,0,1,1,0,alipay_balance,42,2451.93,408.65,207.34,395.84,6,4,美妆,母婴,2,广东
sim_u_00000050,Unknown,2000,L3,2016-11-10,0,0,1,1,1,alipay_balance,25,1381.28,230.21,75.5,235.35,1,5,家居,服饰,2,浙江
sim_u_00000051,Unknown,1980,L4,2016-02-29,0,1,1,1,1,credit_card,60,2747.89,457.98,375.52,700.47,0,9,家居,食品,2,浙江
sim_u_00000052,F,2000,L2,2019-12-02,0,0,1,1,1,alipay_balance,19,1401.24,233.54,204.24,62.74,2,12,家居,家电,5,江苏
sim_u_00000053,M,1970,L2,2016-01-04,0,0,1,1,1,credit_card,6,651.04,108.51,103.37,782.1,2,6,服饰,服饰,1,江苏
sim_u_00000054,M,1985,L3,2022-03-14,0,0,1,1,1,credit_card,47,4264.01,710.67,117.36,47.01,6,12,数码,母婴,2,浙江
