user_id,ab_test_group,first_exposure_date,total_exposure_days,exposure_sessions,version_build,assignment_date
sim_u_00000001,holdout,2026-06-01,14,5,agent-sim-1.0,2026-06-01
sim_u_00000002,holdout,2026-06-01,17,2,agent-sim-1.0,2026-06-01
sim_u_00000003,holdout,2026-06-01,14,6,agent-sim-1.0,2026-06-01
sim_u_00000004,holdout,2026-06-01,8,12,agent-sim-1.0,2026-06-01
sim_u_00000005,holdout,2026-06-01,12,12,agent-sim-1.0,2026-06-01
sim_u_00000006,holdout,2026-06-01,19,2,agent-sim-1.0,2026-06-01
sim_u_00000007,holdout,2026-06-01,27,16,agent-sim-1.0,2026-06-01
sim_u_00000008,holdout,2026-06-01,11,12,agent-sim-1.0,2026-06-01
sim_u_00000009,holdout,2026-06-01,8,8,agent-sim-1.0,2026-06-01
sim_u_00000010,holdout,2026-06-01,10,16,agent-sim-1.0,2026-06-01
sim_u_00000011,holdout,2026-06-01,11,15,agent-sim-1.0,2026-06-01
sim_u_00000012,holdout,2026-06-01,24,3,agent-sim-1.0,2026-06-01
sim_u_00000013,holdout,2026-06-01,25,10,agent-sim-1.0,2026-06-01
sim_u_00000014,holdout,2026-06-01,21,13,agent-sim-1.0,2026-06-01
sim_u_00000015,holdout,2026-06-01,8,12,agent-sim-1.0,2026-06-01
sim_u_00000016,holdout,2026-06-01,23,16,agent-sim-1.0,2026-06-01
sim_u_00000017,holdout,2026-06-01,18,10,agent-sim-1.0,2026-06-01
sim_u_00000018,holdout,2026-06-01,8,13,agent-sim-1.0,2026-06-01
sim_u_00000019,holdout,2026-06-01,12,4,agent-sim-1.0,2026-06-01
sim_u_00000020,holdout,2026-06-01,26,14,agent-sim-1.0,2026-06-01
sim_u_00000021,holdout,2026-06-01,27,8,agent-sim-1.0,2026-06-01
sim_u_00000022,holdout,2026-06-01,11,5,agent-sim-1.0,2026-06-01
sim_u_00000023,holdout,2026-06-01,28,16,agent-sim-1.0,2026-06-01
sim_u_00000024,holdout,2026-06-01,17,13,agent-sim-1.0,2026-06-01
sim_u_00000025,holdout,2026-06-01,12,2,agent-sim-1.0,2026-06-01
sim_u_00000026,holdout,2026-06-01,14,8,agent-sim-1.0,2026-06-01
sim_u_00000027,holdout,2026-06-01,16,15,agent-sim-1.0,2026-06-01
sim_u_00000028,holdout,2026-06-01,9,3,agent-sim-1.0,2026-06-01
sim_u_00000029,holdout,2026-06-01,21,16,agent-sim-1.0,2026-06-01
sim_u_00000030,holdout,2026-06-01,23,7,agent-sim-1.0,2026-06-01
sim_u_00000031,holdout,2026-06-01,15,10,agent-sim-1.0,2026-06-01
sim_u_00000032,holdout,2026-06-01,28,13,agent-sim-1.0,2026-06-01
sim_u_00000033,holdout,2026-06-01,27,14,agent-sim-1.0,2026-06-01
sim_u_00000034,holdout,2026-06-01,25,5,agent-sim-1.0,2026-06-01
sim_u_00000035,holdout,2026-06-01,13,10,agent-sim-1.0,2026-06-01
sim_u_00000036,holdout,2026-06-01,14,12,agent-sim-1.0,2026-06-01
sim_u_00000037,holdout,2026-06-01,22,4,agent-sim-1.0,2026-06-01
sim_u_00000038,holdout,2026-06-01,26,11,agent-sim-1.0,2026-06-01
sim_u_00000039,holdout,2026-06-01,14,14,agent-sim-1.0,2026-06-01
sim_u_00000040,holdout,2026-06-01,12,4,agent-sim-1.0,2026-06-01
sim_u_00000041,holdout,2026-06-01,24,10,agent-sim-1.0,2026-06-01
sim_u_00000042,holdout,2026-06-01,11,16,agent-sim-1.0,2026-06-01
sim_u_00000043,holdout,2026-06-01,22,6,agent-sim-1.0,2026-06-01
sim_u_00000044,holdout,2026-06-01,22,6,agent-sim-1.0,2026-06-01
sim_u_00000045,holdout,2026-06-01,25,11,agent-sim-1.0,2026-06-01
sim_u_00000046,holdout,2026-06-01,13,5,agent-sim-1.0,2026-06-01
sim_u_00000047,holdout,2026-06-01,9,12,agent-sim-1.0,2026-06-01
sim_u_00000048,holdout,2026-06-01,15,9,agent-sim-1.0,2026-06-01
sim_u_00000049,holdout,2026-06-01,15,15,agent-sim-1.0,2026-06-01
sim_u_00000050,holdout,2026-06-01,15,2,agent-sim-1.0,2026-06-01
sim_u_00000051,holdout,2026-06-01,14,12,agent-sim-1.0,2026-06-01
sim_u_00000052,holdout,2026-06-01,7,14,agent-sim-1.0,2026-06-01
sim_u_00000053,holdout,2026-06-01,28,7,agent-sim-1.0,2026-06-01
sim_u_00000054,holdout,2026-06-01,16,12,agent-sim-1.0,2026-06-01
sim_u_00000055,holdout,2026-06-01,27,4,agent-sim-1.0,2026-06-01
sim_u_00000056,holdout,2026-06-01,12,15,agent-sim-1.0,2026-06-01
sim_u_00000057,holdout,2026-06-01,10,3,agent-sim-1.0,2026-06-01
sim_u_00000058,holdout,2026-06-01,25,5,agent-sim-1.0,2026-06-01
sim_u_00000059,holdout,2026-06-01,23,11,agent-sim-1.0,2026-06-01
sim_u_00000060,holdout,2026-06-01,23,14,agent-sim-1.0,2026-06-01
sim_u_00000061,holdout,2026-06-01,25,10,agent-sim-1.0,2026-06-01
sim_u_00000062,holdout,2026-06-01,27,3,agent-sim-1.0,2026-06-01
sim_u_00000063,holdout,2026-06-01,12,15,agent-sim-1.0,2026-06-01
sim_u_00000064,holdout,2026-06-01,15,4,agent-sim-1.0,2026-06-01
sim_u_00000065,holdout,2026-06-01,21,7,agent-sim-1.0,2026-06-01
sim_u_00000066,holdout,2026-06-01,15,8,agent-sim-1.0,2026-06-01
sim_u_00000067,holdout,2026-06-01,8,16,agent-sim-1.0,2026-06-01
sim_u_00000068,holdout,2026-06-01,17,5,agent-sim-1.0,2026-06-01
sim_u_00000069,holdout,2026-06-01,8,13,agent-sim-1.0,2026-06-01
sim_u_00000070,holdout,2026-06-01,8,10,agent-sim-1.0,2026-06-01
sim_u_00000071,holdout,2026-06-01,21,8,agent-sim-1.0,2026-06-01
sim_u_00000072,holdout,2026-06-01,7,13,agent-sim-1.0,2026-06-01
